FUCKING YOUNG / PERFECT,Tyler The Creator,Cherry Bomb,hip hop,spotify:track:46CA1H0T1r7u5lDUtVveAh,,401.572,401.572,,74.102
Bohemian Like You,The Dandy Warhols,Thirteen Tales From Urban Bohemia,alternative rock,spotify:track:0yEhNqCwEfy8LHUmnZoHpP,,221.706,211.706,,131.275
Novacane,Frank Ocean,Novacane,dance pop,spotify:track:4osgfFTICMkcGbbigdsa53,,279.317,302.346,,93.505
Weekend,Louis The Child,Weekend,edm,spotify:track:1VCHNbal0VtE2plMRzvoho,,113.483,175.058,,84.991
I Only Lie When I Love You,Royal Blood,How Did We Get So Dark?,garage rock,spotify:track:1LbwMX3159t6QxG3u7DRWe,,49.359,169.72,,124.013
Frank Sinatra,Cake,Fashion Nugget,alternative rock,spotify:track:5OLjhk2db14wAFMmWjrxGw,,112.62,241.026,,114.225
Heart Wants,Magic City Hippies,Heart Wants,indie psych-rock,spotify:track:13I8nqMjLQfdRcXMZ7mU0D,,208.264,222.0,,144.085
Follow Me,Muse,The 2nd Law,alternative rock,spotify:track:6r9tjMWLv8fNdZKKTnqCEr,,230.787,230.92,,135.258
Miss Atomic Bomb,The Killers,Battle Born,alternative rock,spotify:track:4qBCD7TslV1KdiFpT9cbnm,,293.506,293.506,,132.96
Nobody's Hero,The Heavy,Hurt & The Merciless,garage rock,spotify:track:5mQ6TIlWVBnoxhAWdgtEfB,,184.276,237.433,,84.774
All I Think About Is You,Ansel Elgort,All I Think About Is You,pop,spotify:track:354DcqfZLjPzNZlSfR6o2R,,187.903,188.186,,195.708
Colours in the Sky,Miami Horror,All Possible Futures,alternative dance,spotify:track:6zkUA9gcgPJHaGQcSQBVC6,,250.947,250.947,,87.982
B,Jaden Smith,SYRE,hip hop,spotify:track:4PvVX27CitqLAamcc0PCRU,,73.489,186.175,,144.108
Last Confession,The Heavy,Hurt & The Merciless,garage rock,spotify:track:216voeS95roTzsZat91qXD,,277.648,277.648,,184.338
Sleeping Powder,Gorillaz,Sleeping Powder,,spotify:track:5pE9vMyvVNOpZFutt6lyy4,,166.481,166.481,,103.975
Touch,Daft Punk,Random Access Memories,electro,spotify:track:7oaEjLP2dTJLJsITbAxTOz,,498.681,498.96,,90.539
Redbone,Childish Gambino,"Awaken My Love!",hip hop,spotify:track:3kxfsdsCpFgN412fpnW85Y,,326.933,326.933,,160.083
Pyramids,Frank Ocean,channel ORANGE,dance pop,spotify:track:4QhWbupniDd44EDtnh2bFJ,,592.92,592.92,,131.952
Champagne Supernova - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],britpop,spotify:track:40bynawzslg9U7ACq07fAj,,448.438,448.438,,150.272
Alien Days,MGMT,MGMT,alternative dance,spotify:track:33rOTAUrmU6RTu3WsJLp5Q,,308.133,308.133,,140.931
Tender,Blur,Blur: The Best Of,alternative rock,spotify:track:42cxPm9jgbaxIVN77XA1m6,,461.946,461.946,,76.054
Music,Mystery Skulls,One of Us,otacore,spotify:track:2ECNZe6DJQX2RMEIJj3F3k,,201.523,202.6,,119.886
Move Slow,Magdalena Bay,Move Slow,,spotify:track:3oHhWLYh1m5GX6lwOkNmTV,,242.086,242.086,,115.01
Miss Right,Anderson .Paak,Venice,deep indie r&b,spotify:track:3xc7EvYaIA0El81QVSwdhg,,198.713,198.713,,96.419
Filthy,Justin Timberlake,Filthy,boy band,spotify:track:1L3NV7VrCiuE8C5QlhdeQL,,293.946,293.946,,97.002
Lust For Life (with The Weeknd),Lana Del Rey,Lust For Life,dance pop,spotify:track:0mt02gJ425Xjm7c3jYkOBn,,264.066,264.066,,99.982
Her,VALENTINE,Her,,spotify:track:2EF9XmpvYhCeFJOVh30abq,,293.647,293.647,,170.034
Two Fingers,Jake Bugg,Jake Bugg,indie rock,spotify:track:582EVyAFKmKPa1bVPSDurJ,,195.986,195.986,,120.516
So Young,The London Suede,The Best Of,britpop,spotify:track:36NpeiIbz1WiyrnEhkNMjb,,222.44,222.44,,116.108
Still Take You Home,Arctic Monkeys,Whatever People Say I Am That's What I'm Not,garage rock,spotify:track:28J7s6ylqLYzBUTBSUyEjm,,173.019,173.666,,108.934
All of Me,Billie Holiday,Lady Day: The Complete Billie Holiday On Columbia (1933-1944),adult standards,spotify:track:79fXdfpOPGaXO1gfdq2onl,,181.44,181.44,,105.393
Phoenix From The Flames,Robbie Williams,The Ego Has Landed,boy band,spotify:track:4MZhCSw7jEkljvzre1dbIo,,183.455,242.733,,152.816
See You Again,Tyler The Creator,Flower Boy,hip hop,spotify:track:7KA4W4McWYRpgf0fWsJZWB,,179.53,180.386,,78.558
my boy,Billie Eilish,dont smile at me,indie poptimism,spotify:track:1RGasjWLZ4qMN7wbtkLa3u,,170.431,170.852,,90.005
Nothing Burns Like The Cold,Snoh Aalegra,FEELS,deep indie r&b,spotify:track:27tCCThExMJEQh7lMp3Sd4,,209.679,209.911,,138.12
Revenge,XXXTENTACION,17,,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,,119.327,120.026,,139.999
Revolt,Muse,Drones,alternative rock,spotify:track:7BGg9wSF98j6FzvHGkq3f0,,245.063,245.71,,124.667
Nothing Burns Like The Cold,Snoh Aalegra,FEELS,deep indie r&b,spotify:track:27tCCThExMJEQh7lMp3Sd4,,208.863,209.911,,138.12
Egyptian Luvr (feat. Amine and Dana Williams),Rejjie Snow,Dear Annie: Part 1,deep indie r&b,spotify:track:4cFOSh45sPPvPTzOmiJ9Au,,256.613,256.613,,104.944
my boy,Billie Eilish,dont smile at me,indie poptimism,spotify:track:1RGasjWLZ4qMN7wbtkLa3u,,170.852,170.852,,90.005
